AÑO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;CÓDIGO DISTRITO;BARRIO;CÓDIGO BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2024;4;;Centros culturales y bibliotecas;Planetario de Madrid;AVENIDA  PLANETARIO,  16  28045  MADRID;ARGANZUELA;2;LEGAZPI;24;441919,09;4471566,9;-3.6849454373727;40.39283930441695;[Planetario de Madrid][1046] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;170
2024;4;;Centros culturales y bibliotecas;CC Nicolás Salmerón (CC, EM María Rodrigo y Bib. Fco. Ibáñez);CALLE  MANTUANO,  51  28002  MADRID;CHAMARTIN;5;CIUDAD JARDIN;53;442658,2;4477714,06;-3.675813806689595;40.448284935167614;[Complejo Nicolás Salmerón][0389] Consumo total;PROCESADO;Energía activa;;kWh;9794,306641
2024;4;;Centros deportivos;CDM Miguel Guillen Prim;CALLE FUENTIDUEÑA, 6 (ESQUINA CALLE PUERTO PORZUNA) 28031 MADRID;VILLA DE VALLECAS;18;CASCO HISTORICO DE VALLECAS;181;447071,57;4469415,94;-3.62204226308822;40.3737715570246;[CDM Miguel Guillén Prim][0848] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;7688,003418
2024;4;;Centros deportivos;CDM Miguel Guillen Prim;CALLE FUENTIDUEÑA, 6 (ESQUINA CALLE PUERTO PORZUNA) 28031 MADRID;VILLA DE VALLECAS;18;CASCO HISTORICO DE VALLECAS;181;447071,57;4469415,94;-3.62204226308822;40.3737715570246;[CDM Miguel Guillén Prim][0848] Gas General;EXTERNO;Gas;;kWh;1979,401001
2024;4;;Centros deportivos;CDM Miguel Guillen Prim;CALLE FUENTIDUEÑA, 6 (ESQUINA CALLE PUERTO PORZUNA) 28031 MADRID;VILLA DE VALLECAS;18;CASCO HISTORICO DE VALLECAS;181;447071,57;4469415,94;-3.62204226308822;40.3737715570246;[CDM Miguel Guillén Prim][0848] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;2405,999023
2024;4;;Centros mixtos;CSC García Lorca;CALLE  EUGENIA DE MONTIJO,  105  28044  MADRID;CARABANCHEL;11;BUENAVISTA;116;436272,1;4469568,5;-3.7506920153715964;40.37426253091966;[CC García Lorca][0330] Gas General;EXTERNO;Gas;;kWh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros mixtos;CSC García Lorca;CALLE  EUGENIA DE MONTIJO,  105  28044  MADRID;CARABANCHEL;11;BUENAVISTA;116;436272,1;4469568,5;-3.7506920153715964;40.37426253091966;[CC García Lorca][0330] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;399,4000549
2024;4;;Centros mixtos;CC Lope de Vega -  Ag. Empleo;CALLE  CONCEJO DE TEVERGA,  1  28053  MADRID;PUENTE DE VALLECAS;13;ENTREVIAS;131;443005,25;4470864,79;-3.6709723146411886;40.38641356447425;[CC Lope de Vega - Ag. Empleo][2095] Gas General;EXTERNO;Gas;;kWh;687,4314575
2024;4;;Centros mixtos;CC Lope de Vega -  Ag. Empleo;CALLE  CONCEJO DE TEVERGA,  1  28053  MADRID;PUENTE DE VALLECAS;13;ENTREVIAS;131;443005,25;4470864,79;-3.6709723146411886;40.38641356447425;[CC Lope de Vega - Ag. Empleo][2095] Interruptor General (Activa);EXTERNO;Energía activa;;kWh;14177,00488
2024;4;;Centros escolares;CEIP Cristóbal Colón;CARRETERA  CARABANCHEL A VILLAVERDE,  109  28041  MADRID;VILLAVERDE;17;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;171;440036,98;4466877,72;-3.70609301518351;40.3503019793529;[CEIP Cristóbal Colón][0033] Electricidad General Ampliación (Activa);EXTERNO;Energía activa;;kWh;2583,400391
2024;4;;Centros escolares;CEIP Cristóbal Colón;CARRETERA  CARABANCHEL A VILLAVERDE,  109  28041  MADRID;VILLAVERDE;17;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;171;440036,98;4466877,72;-3.70609301518351;40.3503019793529;[CEIP Cristóbal Colón][0033] [B] Electricidad General Ampliación (Reactiva);EXTERNO;Energía Reactiva;;kVArh;379,4000244
2024;4;;Centros mixtos;CC Lope de Vega -  Ag. Empleo;CALLE  CONCEJO DE TEVERGA,  1  28053  MADRID;PUENTE DE VALLECAS;13;ENTREVIAS;131;443005,25;4470864,79;-3.6709723146411886;40.38641356447425;[CC Lope de Vega - Ag. Empleo][2095] [B] Interruptor General (Reactiva)_;EXTERNO;Energía Reactiva;;kVArh;3779
2024;4;;Centros escolares;CEIP Cristóbal Colón;CARRETERA  CARABANCHEL A VILLAVERDE,  109  28041  MADRID;VILLAVERDE;17;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;171;440036,98;4466877,72;-3.70609301518351;40.3503019793529;[CEIP Cristóbal Colón][0033] Gas General Ampliación;EXTERNO;Gas;;kWh;1437,619873
2024;4;;Centros deportivos;CDM Alfredo Goyeneche;CALLE ARROYO DE POZUELO, 99 28023 MADRID;MONCLOA - ARAVACA;9;ARAVACA;97;433641,18;4478204,93;-3.781256253676556;40.452149602180505;[CDM Alfredo Goyeneche][1772] Gas General;EXTERNO;Gas;;kWh;13789,33398
2024;4;;Centros deportivos;CDM Entrevías;RONDA  SUR,  4  28053  MADRID;PUENTE DE VALLECAS;13;ENTREVIAS;131;442827,09;4469918,83;-3.6728529011536875;40.37801202948858;[CDM Entrevías][1921] Electricidad General Verano;EXTERNO;Energía activa;;kWh;4389,824219
2024;4;;Centros culturales y bibliotecas;CC Fernando de los Ríos Y Biblioteca Aluche;CALLE  CAMARENA,  10  28047  MADRID;LATINA;10;ALUCHE;104;435820,47;4471927,38;-3.7557257281421474;40.39583722701424;[CC Fernando de los Ríos][1073] Gas General;EXTERNO;Gas;;kWh;1554
2024;4;;Seguridad y emergencias;Parque de Bomberos 8;CALLE  PIO FELIPE,  24  28038  MADRID;PUENTE DE VALLECAS;13;NUMANCIA;136;444594,3;4471810,8;-3.6528604893748824;40.39505707882308;[Parque de Bomberos 8][0155] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;26739,20508
2024;4;;Seguridad y emergencias;Parque de Bomberos 8;CALLE  PIO FELIPE,  24  28038  MADRID;PUENTE DE VALLECAS;13;NUMANCIA;136;444594,3;4471810,8;-3.6528604893748824;40.39505707882308;[Parque de Bomberos 8][0155] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;788
2024;4;;Centros mixtos;Palacio Cibeles;PLAZA CIBELES, 1 28014 MADRID;RETIRO;3;LOS JERONIMOS;35;441294,07;4474471,09;-3.6919909715652;40.4187965631925;[Palacio Cibeles][1131] Gas General;EXTERNO;Gas;;kWh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros sociales;CS Teresa de Calcuta;PLAZA NAVIO, 4 28042 MADRID;BARAJAS;21;ALAMEDA DE OSUNA;211;450183,84;4478454,95;-3.5871353643605675;40.45552661743925;[CC Teresa de Calcuta][0473] Gas General;EXTERNO;Gas;;kWh;2187,201172
2024;4;;Centros culturales y bibliotecas;CC Bib Buena Vista;AVENIDA  TOREROS,  5  28028  MADRID;SALAMANCA;4;GUINDALERA;44;443118,03;4475923,74;-3.6700967895034124;40.43221364228867;[CC y Biblioteca Buenavista][0035] Consumo total;PROCESADO;Energía activa;;kWh;17384,44531
2024;4;;Otras dependencias;Almacén de la Villa;CALLE  AHUMAOS,  27  28052  MADRID;VICALVARO;19;CASCO HISTORICO DE VICALVARO;191;449292,6;4471741,7;-3.5974968359528807;40.394734071819954 ;[Almacén de la Villa][2520] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;8489,113281
2024;4;;Centros culturales y bibliotecas;CC Valdebernardo y Biblioteca Francisco Ayala;BULEVAR INDALECIO PRIETO, 21 28032 MADRID;VICALVARO;19;VALDEBERNARDO;192;447292,76;4472313,76;-3.6210706830025;40.3998728193385;[Complejo Valdebernardo - Francisco Ayala][1763] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;12445,0293
2024;4;;Centros culturales y bibliotecas;Biblioteca Huerta de la Salud;CALLE  MAR DE LAS ANTILLAS,  10  28033  MADRID;HORTALEZA;16;PINAR DEL REY;164;445262,4;4480710,3;-3.645755044643449;40.47527280832661;[Biblioteca Huerta de la Salud][1336] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;3820,400635
2024;4;;Centros culturales y bibliotecas;Biblioteca Huerta de la Salud;CALLE  MAR DE LAS ANTILLAS,  10  28033  MADRID;HORTALEZA;16;PINAR DEL REY;164;445262,4;4480710,3;-3.645755044643449;40.47527280832661;[Biblioteca Huerta de la Salud][1336] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Otras dependencias;Almacén de la Villa;CALLE  AHUMAOS,  27  28052  MADRID;VICALVARO;19;CASCO HISTORICO DE VICALVARO;191;449292,6;4471741,7;-3.5974968359528807;40.394734071819954 ;[Almacén de la Villa][2520] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;421,7000427
2024;4;;Centros culturales y bibliotecas;CC Valdebernardo y Biblioteca Francisco Ayala;BULEVAR INDALECIO PRIETO, 21 28032 MADRID;VICALVARO;19;VALDEBERNARDO;192;447292,76;4472313,76;-3.6210706830025;40.3998728193385;[Complejo Valdebernardo - Francisco Ayala][1763] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;1906,01001
2024;4;;Centros culturales y bibliotecas;Biblioteca Huerta de la Salud;CALLE  MAR DE LAS ANTILLAS,  10  28033  MADRID;HORTALEZA;16;PINAR DEL REY;164;445262,4;4480710,3;-3.645755044643449;40.47527280832661;[Biblioteca Huerta de la Salud][1336] Silo;EXTERNO;Energía activa;;kWh;1087,300171
