AÑO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;CÓDIGO DISTRITO;BARRIO;CÓDIGO BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2024;4;;Centros administrativos;JMD Centro;CALLE MAYOR, 72 28013 MADRID;CENTRO;1;PALACIO;11;439700,82;4474124,14;-3.7107369303703;40.4155572059031;[JMD Centro][0772][Contador TL] Activa;EXTERNO;Energía activa;;kWh;18748
2024;4;;Centros administrativos;JMD Centro;CALLE MAYOR, 72 28013 MADRID;CENTRO;1;PALACIO;11;439700,82;4474124,14;-3.7107369303703;40.4155572059031;[JMD Centro][0772][Contador TL] [B] Reactiva;EXTERNO;Energía Reactiva;;kVArh;3002
2024;4;;Centros mixtos;Complejo La Vaguada;AVENIDA MONFORTE DE LEMOS, 38-40 28029 MADRID;FUENCARRAL - EL PARDO;8;PILAR;84;440036,44;4481276,19;-3.709012712706959;40.479004163276095;[Complejo La Vaguada][Contador TL] Activa;EXTERNO;Energía activa;;kWh;64546
2024;4;;Centros mixtos;Complejo La Vaguada;AVENIDA MONFORTE DE LEMOS, 38-40 28029 MADRID;FUENCARRAL - EL PARDO;8;PILAR;84;440036,44;4481276,19;-3.709012712706959;40.479004163276095;[Complejo La Vaguada][Contador TL] [B] Reactiva;EXTERNO;Energía Reactiva;;kVArh;16314
2024;4;;Centros deportivos;CDM María Jesús Rosa;AVENIDA  MONFORTE DE LEMOS,  38  28029  MADRID;FUENCARRAL - EL PARDO;8;PILAR;84;438096,2;4482093,07;-3.7089994931940193;40.47902750223984;[CDM María Jesús Rosa][1082] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;30026,08008
2024;4;;Centros administrativos;JMD San Blas;AVENIDA ARCENTALES, 28 28022 MADRID;SAN BLAS - CANILLEJAS;20;ROSAS;205;448288,44;4476153,63;-3.6093213451679547;40.4346558664931;[JMD San Blas][1947] Electricidad General (activa);EXTERNO;Energía activa;;kWh;20073,01367
2024;4;;Centros deportivos;CDM María Jesús Rosa;AVENIDA  MONFORTE DE LEMOS,  38  28029  MADRID;FUENCARRAL - EL PARDO;8;PILAR;84;438096,2;4482093,07;-3.7089994931940193;40.47902750223984;[CDM María Jesús Rosa][1082] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;8953,019531
2024;4;;Centros administrativos;JMD San Blas;AVENIDA ARCENTALES, 28 28022 MADRID;SAN BLAS - CANILLEJAS;20;ROSAS;205;448288,44;4476153,63;-3.6093213451679547;40.4346558664931;[JMD San Blas][1947] [B] Electricidad General (reactiva);EXTERNO;Energía Reactiva;;kVArh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros deportivos;CDM La Mina;CALLE  MONSEÑOR OSCAR ROMERO,  41  28025  MADRID;CARABANCHEL;11;VISTA ALEGRE;114;436594,28;4470496,05;-3.7467549471754307;40.382255413146034;[CDM La Mina][1935] Gas General;EXTERNO;Gas;;kWh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros deportivos;CDM Pradillo;CALLE PRADILLO, 33 28002 MADRID;CHAMARTIN;5;CIUDAD JARDIN;53;443049,03;4477864,71;-3.6715419600957575;40.449387821577496;[CDM Pradillo][1776] Gas Pabellón;EXTERNO;Gas;;kWh;1109,708496
2024;4;;Centros deportivos;CDM Pradillo;CALLE PRADILLO, 33 28002 MADRID;CHAMARTIN;5;CIUDAD JARDIN;53;443049,03;4477864,71;-3.6715419600957575;40.449387821577496;[CDM Pradillo][1776] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;28911,16406
2024;4;;Centros deportivos;CDM Pradillo;CALLE PRADILLO, 33 28002 MADRID;CHAMARTIN;5;CIUDAD JARDIN;53;443049,03;4477864,71;-3.6715419600957575;40.449387821577496;[CDM Pradillo][1776] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;206
