TITLE,NEIGHBORHOOD,SQUARE_METERS,NUM_OF_ROOMS,ADDRESS,DISTRICT,RENT_PRICE,RENT_PRICE_BY_SQ_METER,RENT_BY_ROOM,ENERGY_CERTIFICATE,uuid,uuid2,uuid3,uuid4
Piso en venta en San Cristóbal,VILLAVERDE,60,2,,BARAJAS,516,8,258,,8df12bc3-9615-41c4-b38d-a6a6bee53d84,eeb4ec82-bbc4-426b-8d54-44aca1dc4d00,370f2c77-9e13-4d20-abb2-bd8467d228e2,bb89b2bb-cd11-4fa7-878f-6bbfb40c316d
Piso en venta en San Andrés,VILLAVERDE,60,2,,BARAJAS,493,8,246,,16e9c99b-0a25-4a07-80f3-c2612aff08c0,27ca794e-1b41-40a1-9371-332852469ae6,e8e7a17a-7a33-4e03-93f9-2ec89088c329,11d43663-8b90-4c3a-877a-5a17c831de7b
Piso en venta en Los Ángeles,VILLAVERDE,95,4,,BARAJAS,724,7,181,,e0d94b3b-b89e-4d30-8de7-71ee69a01fe6,05c326ed-3642-478c-9f9c-bf1e343ae0ce,7c6d9cd0-21b4-4c3e-8457-ab29cc7aaa71,7d489417-6035-43df-bd13-c3f9497b646f
Piso en venta en San Andrés,VILLAVERDE,76,3,,BARAJAS,583,7,194,,2b3691b8-9b9b-4cbb-a804-53aa43f6a124,be83367e-e273-494b-a039-ab516fd531de,07ed7acc-abcd-4583-9478-29658c9f1e9d,92cc0fa6-b42c-43fa-8970-7a7259204a09
Piso en venta en camino Leganés,SAN ANDRES,51,2,Camino Leganés,BARAJAS,508,9,254,,da6c32e6-8b99-4df9-9cb8-bc0d9c0ca653,a778d5b7-db5b-42bc-8308-a728852a5c9e,f3b0bea8-2c25-41fc-b578-126e76fa1e82,078e4d24-84f2-437f-8149-4cc51cab43f5
Piso en venta en calle de las Islas,SAN ANDRES,134,3,Calle de las Islas,BARAJAS,666,4,222,,a81d6db2-e491-4604-a3ed-240466ca3b7e,1f22702f-0c34-45d4-aada-6ce4b5df39cd,da6e6be7-c9a8-4a5f-a3e7-073081b52f8b,2f67f2e3-e0ed-465a-84f7-7787bb8aa51b
Piso en venta en calle de Parvillas Bajas,SAN ANDRES,62,2,Calle de Parvillas Bajas,BARAJAS,557,8,278,,880495af-204b-4771-be72-db07efdacbc7,651b1c22-d153-49fc-b702-8d91b69f8d89,c7132ab8-de97-409e-928f-cdb3c433938c,5d9c84d2-b9d0-477f-be83-a4e0f37934a8
Piso en venta en COBALTO s/n,SAN ANDRES,75,3,,BARAJAS,698,9,232,,64def099-17e3-47e6-8ca5-7c5795ba0520,0c14b278-412c-4b50-80cc-f3247aa47ac3,6d64293c-0f08-4382-8205-40c8d9c155a5,3d6d87de-3e13-4042-86af-8296180bf587
Piso en venta en Butarque,VILLAVERDE,112,4,,BARAJAS,1148,10,287,B,a7f9c6f3-b9e1-4d0c-ac76-0449de6c916e,f9cd70bf-2acc-4d94-be74-02c628192f91,b7411d2d-6963-4b31-9a6c-dbe44683625a,cc9c5bcb-b811-4eaf-bca5-c63c99379918
Piso en venta en calle Villajoyosa,LOS ROSALES,65,3,Calle Villajoyosa,BARAJAS,744,11,248,,d46fbfc0-f9b1-448f-9e20-3eb711c43783,b4b7de24-cdaa-446c-97b5-a7bfc95ed608,e4bf8d47-d397-4ba1-9ce1-61a22dfe0d2a,18acfb16-101b-42d0-bb7e-4026fcdc5b4a
Piso en venta en paseo de Alberto Palacios,SAN ANDRES,70,2,Paseo de Alberto Palacios,BARAJAS,728,10,364,E,dda40617-7915-4842-9a2b-4105056db0fb,be399792-5056-4bef-9ebd-825ff7b149a3,6d04fe00-b431-455b-8e3c-a8dbda9a773b,37e272d4-4985-4bda-a978-3a64e23d34f0
Piso en venta en calle Laguna del Marquesado,SAN ANDRES,75,1,Calle Laguna del Marquesado,BARAJAS,505,6,505,,ddfa97da-8769-4a2c-82fb-07727d5124b1,2a21db2e-a2de-4a62-a27a-e82ac64d0ebc,92c098c8-c3e3-4eea-8af8-77749870a813,cc254fc5-1cb1-4dea-9e0c-1ca67f4330d0
Piso en venta en carretera de Villaverde a Vallecas,LOS ROSALES,123,3,Carretera de Villaverde a Vallecas,BARAJAS,1195,9,398,,d3428225-3e01-4583-9c5a-e0825f6f0785,68aa693d-bc77-4df8-a651-d6c2e72dc46b,3f81d193-4d19-46e3-9cef-cf6313665862,4fa54eb8-8e7c-4c05-be4f-131d8cb2b0f8
Piso en venta en camino Leganés,SAN ANDRES,61,3,Camino Leganés,BARAJAS,539,8,179,,648525be-83e5-4461-91f5-1fc6103eebc4,9e4ddc4d-752a-48b6-9119-31ff1593df2b,36ef413d-cf46-44f7-b636-94b294467902,a169cea4-84f5-4e30-a1f1-aca2c2e0aa8b
Piso en venta en San Andrés,VILLAVERDE,72,2,,BARAJAS,698,9,349,,08ad7f3c-ffaf-4b7d-b17e-d34878285d92,c384229e-27ab-44fc-bfac-5d957ebbe64d,93e30465-6733-41e3-88c7-1250c8286af2,c991e903-0cd6-4d0a-a044-db12d9fb3371
"Piso en venta en Concepción de la Oliva, 21",BUTARQUE,61,3,Concepción de la Oliva 21,BARAJAS,539,8,179,,0174a3f2-b756-471e-ab98-433d815b865d,950f7ae4-ffb2-4ce8-8256-4f9772656614,a12a941d-f48e-4239-b708-6717bdcff78d,603cadba-ec54-4535-8e71-3bb12fde6294
Piso en venta en San Neviano - Villaverde,SAN ANDRES,71,3,San Neviano - Villaverde,BARAJAS,672,9,224,,1625ef2d-c900-45db-93a5-bbd76112da88,b08e0a8e-091b-4305-9b3a-2d55650e52a6,dcb57343-8ff3-4fab-bb6b-12843e84a23c,fd12d762-cc9f-4b13-a0f7-21d3187eab99
Piso en venta en Los Rosales,VILLAVERDE,87,3,,BARAJAS,521,5,173,E,2bb45dd3-9675-4003-9510-650365b027c2,7433bf7d-5a1b-4adc-96f1-4eaadac80063,090e651a-6a04-4b44-9539-8373d86e7a72,24f8df79-fa6c-4881-9260-8c54b1e58e11
Piso en venta en paseo de Alberto Palacios,SAN ANDRES,60,2,Paseo de Alberto Palacios,BARAJAS,758,12,379,A,2437a73c-57f0-4c94-934a-22438ee59e93,6ca8fa85-c457-414d-9ce8-7be3a8618306,2989910c-5674-4c7b-8d7e-483ebf122fd6,ab6fb3bb-a226-4197-bf74-ab35456d78fe
Piso en venta en calle la Dolorosa,LOS ANGELES,78,4,Calle la Dolorosa,BARAJAS,731,9,182,G,6956d0da-3d57-4374-b329-51c87246af01,9b13dc61-c44b-44ac-9646-04fb8e27614d,903437d8-5beb-43e5-987b-3a14f65dad6a,5013cc8f-77b1-40fa-9e6b-11faaf4c78b2
Piso en venta en calle Encarnación Oviol,LOS ROSALES,52,1,Calle Encarnación Oviol,BARAJAS,505,9,505,G,bbbb564d-af8b-4f0b-877d-a1f4bd27648b,595e510c-0248-467f-a667-05f70582c6cb,38931681-e0b9-4fec-b18e-2952de232312,5bc9f561-826b-445b-80d7-9ce71ef71db0
Dúplex en venta en calle ESTEFANITA,BUTARQUE,125,3,Calle ESTEFANITA,BARAJAS,1135,9,378,D,b62cfa1f-e6e4-44e7-b221-38e7fcfc74b6,5b1fe47a-aa47-4cb5-9959-f10ba9306e68,23c1713e-f5e7-4e51-bfbd-842bfd12df0d,2bb0c198-434b-4b26-82c9-b90e85aaa522
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,97,2,Calle Arroyo de la Bulera 31,BARAJAS,1111,11,555,,25f7c59c-0699-476f-a6dc-6af29794445f,1b59bbe8-4be2-45c4-b973-cefb1cb61f08,271a28e4-0b0c-4f6c-abcd-10a5f3625b29,50aeeecf-fa88-4463-b99e-7f12a22b2aaa
"Piso en venta en calle Arroyo de la Bulera, 31",BUTARQUE,93,2,Calle Arroyo de la Bulera 31,BARAJAS,1004,10,502,,95cd53f0-cf1f-403b-921c-0b005b27dbc3,7692d4a9-2d97-4a87-9961-7eb09b56a0fd,df531ac2-fcc1-4043-9b70-88687827289d,4eaae677-83c9-4afb-b284-24ec5d3aa675
Piso en venta en calle de la del Manojo de Rosas,LOS ANGELES,103,4,Calle de la del Manojo de Rosas,BARAJAS,823,7,205,,c08d9a5f-02e4-4721-a5f6-5f7acff5e04c,afcab858-7b1b-42c7-973d-02a256ea7739,4f752625-007a-47c6-a547-0313baaf40fc,7615975b-ed94-4537-a60f-c1bbe8c3d5c9
Ático en venta en Villaverde a perales,BUTARQUE,83,2,Villaverde a perales,BARAJAS,1004,12,502,,8e8099a6-c40f-4031-b584-3e52a0d03312,7c910155-6c77-4612-9159-426fc0f994ef,ebb86011-7519-4cc9-a2f2-0f45ecb6a683,a7461b26-874c-4cbb-893b-e2601efa677c
Piso en venta en calle de Juan José Martínez Seco,LOS ROSALES,45,2,Calle de Juan José Martínez Seco,BARAJAS,471,10,235,E,7c45826a-62d9-4d2e-9763-5613c3f018de,ca9071f8-17b0-4e5e-9a5e-b0cc989cb613,41f9791c-d4a3-46fc-a3b7-f8680b3313c2,fd9496c3-c0d9-49a1-8484-b090a99b22a6
Piso en venta en carretera de Villaverde a Vallecas,LOS ROSALES,120,3,Carretera de Villaverde a Vallecas,BARAJAS,1195,9,398,,7ad1bd43-b635-416f-961b-a5945105211e,023da473-d6e4-414d-98d3-9728b4015556,3b24d331-bf16-45db-a37a-0f50d3a059e3,724cd601-501c-4ae2-bee2-ebdf0ca31467
