last_reported,station_id,num_bikes_available,num_docks_available,is_installed,is_renting,is_returning,name,lat,lon,capacity
2024-09-01T00:10:00Z,3,20,0,true,true,true,bolton street,53.35118,-6.269859,20
2024-09-01T00:10:00Z,30,18,2,true,true,true,parnell square north,53.35374,-6.265301,20
2024-09-01T00:10:00Z,33,5,18,true,true,true,princes street / o'connell street,53.349014,-6.260311,23
2024-09-01T00:10:00Z,34,15,14,true,true,true,portobello harbour,53.33036,-6.265163,30
2024-09-01T00:10:00Z,35,10,20,true,true,true,smithfield,53.34769,-6.278214,30
2024-09-01T00:10:00Z,38,35,5,true,true,true,talbot street,53.350975,-6.25294,40
2024-09-01T00:10:00Z,39,5,15,true,true,true,wilton terrace,53.332382,-6.252717,20
2024-09-01T00:10:00Z,4,13,7,true,true,true,greek street,53.346874,-6.272976,20
2024-09-01T00:10:00Z,40,21,0,true,true,true,jervis street,53.3483,-6.266651,21
2024-09-01T00:10:00Z,42,18,12,true,true,true,smithfield north,53.349564,-6.2781982,30
2024-09-01T00:10:00Z,43,25,4,true,true,true,portobello road,53.33009,-6.268044,30
2024-09-01T00:10:00Z,44,6,24,true,true,true,upper sherrard street,53.358437,-6.260641,30
2024-09-01T00:10:00Z,45,28,2,true,true,true,deverell place,53.351463,-6.255265,30
2024-09-01T00:10:00Z,48,10,30,true,true,true,excise walk,53.34778,-6.244239,40
2024-09-01T00:10:00Z,49,27,13,true,true,true,guild street,53.34793,-6.240928,40
2024-09-01T00:10:00Z,5,14,25,true,true,true,charlemont place,53.33066,-6.260177,40
2024-09-01T00:10:00Z,50,21,19,true,true,true,georges lane,53.35023,-6.279696,40
2024-09-01T00:10:00Z,55,7,29,true,true,true,hatch street,53.33403,-6.260714,36
2024-09-01T00:10:00Z,57,5,18,true,true,true,grattan street,53.33963,-6.243778,23
2024-09-01T00:10:00Z,58,7,33,true,true,true,sir patrick dun's,53.33922,-6.240642,40
2024-09-01T00:10:00Z,59,0,20,true,true,true,denmark street great,53.35561,-6.261397,20
2024-09-01T00:10:00Z,60,12,18,true,true,true,north circular road,53.359623,-6.260348,30
2024-09-01T00:10:00Z,62,8,32,true,true,true,lime street,53.346027,-6.243576,40
2024-09-01T00:10:00Z,64,32,8,true,true,true,sandwith street,53.345203,-6.247163,40
2024-09-01T00:10:00Z,65,19,21,true,true,true,convention centre,53.34744,-6.238523,40
2024-09-01T00:10:00Z,66,17,23,true,true,true,new central bank,53.347122,-6.234749,40
2024-09-01T00:10:00Z,67,14,26,true,true,true,the point,53.346867,-6.230852,40
2024-09-01T00:10:00Z,68,35,5,true,true,true,hanover quay,53.344116,-6.237153,40
