num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S021518;06/07/2024;19:25:00;CALL. TRAFALGAR / CALL. ALBURQUERQUE;8;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;440594;4475871;N;NULL
2024S021518;06/07/2024;19:25:00;CALL. TRAFALGAR / CALL. ALBURQUERQUE;8;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440594;4475871;N;NULL
2024S021519;06/07/2024;19:20:00;PLAZA. MARIANO DE CAVIA / AVDA. MEDITERRANEO;3;3;RETIRO;Caída;Despejado;Ciclomotor;Conductor;De 25 a 29 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;442427;4473209;N;NULL
2024S021520;06/07/2024;16:45:00;CALL. COMUNEROS DE CASTILLA, 15;15;11;CARABANCHEL;Colisión lateral;Despejado;Furgoneta;Conductor;De 40 a 44 años;Hombre;NULL;NULL;438733;4472216;N;NULL
2024S021520;06/07/2024;16:45:00;CALL. COMUNEROS DE CASTILLA, 15;15;11;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;NULL;NULL;438733;4472216;N;NULL
2024S021521;06/07/2024;21:00:00;CALL. FUENGIROLA, 23;23;13;PUENTE DE VALLECAS;Colisión lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;445584;4470538;S;NULL
2024S021521;06/07/2024;21:00:00;CALL. FUENGIROLA, 23;23;13;PUENTE DE VALLECAS;Colisión lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;445584;4470538;N;NULL
2024S021522;06/07/2024;17:30:00;CALL. GAZTAMBIDE / CALL. FERNANDO EL CATOLICO;74;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Camión rígido;Conductor;De 40 a 44 años;Hombre;NULL;NULL;439314;4476224;S;NULL
2024S021522;06/07/2024;17:30:00;CALL. GAZTAMBIDE / CALL. FERNANDO EL CATOLICO;74;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Turismo;Conductor;De 60 a 64 años;Hombre;NULL;NULL;439314;4476224;N;NULL
2024S021523;06/07/2024;21:05:00;CALL. ALBERTO AGUILERA, 54;54;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439510;4475770;N;NULL
2024S021523;06/07/2024;21:05:00;CALL. ALBERTO AGUILERA, 54;54;7;CHAMBERÍ;Alcance;Despejado;VMU eléctrico;Conductor;De 40 a 44 años;Hombre;NULL;NULL;439510;4475770;N;NULL
2024S021524;06/07/2024;20:50:00;CALL. MANCO DE LEPANTO, 9;9;13;PUENTE DE VALLECAS;Otro;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;443782;4472693;N;NULL
2024S021524;06/07/2024;20:50:00;CALL. MANCO DE LEPANTO, 9;9;13;PUENTE DE VALLECAS;Otro;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;NULL;NULL;443782;4472693;N;NULL
2024S021524;06/07/2024;20:50:00;CALL. MANCO DE LEPANTO, 9;9;13;PUENTE DE VALLECAS;Otro;Despejado;Turismo;Pasajero;De 40 a 44 años;Hombre;NULL;NULL;443782;4472693;N;NULL
2024S021524;06/07/2024;20:50:00;CALL. MANCO DE LEPANTO, 9;9;13;PUENTE DE VALLECAS;Otro;Despejado;Turismo;Pasajero;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;443782;4472693;N;NULL
2024S021525;06/07/2024;19:30:00;PASEO. VIRGEN DEL PUERTO / CALL. SEGOVIA;27;2;ARGANZUELA;Colisión lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;438830;4473942;S;NULL
2024S021525;06/07/2024;19:30:00;PASEO. VIRGEN DEL PUERTO / CALL. SEGOVIA;27;2;ARGANZUELA;Colisión lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;438830;4473942;N;NULL
2024S021527;06/07/2024;22:25:00;CALL. SERENA / CALL. LOS BARROS;33;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;Desconocido;Desconocido;NULL;NULL;443255;4469833;N;NULL
2024S021527;06/07/2024;22:25:00;CALL. SERENA / CALL. LOS BARROS;33;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;443255;4469833;S;NULL
2024S021527;06/07/2024;22:25:00;CALL. SERENA / CALL. LOS BARROS;33;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443255;4469833;N;NULL
2024S021527;06/07/2024;22:25:00;CALL. SERENA / CALL. LOS BARROS;33;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443255;4469833;N;NULL
2024S021528;06/07/2024;21:46:00;CALL. PELICANO / CALL. HERMANDAD;22;11;CARABANCHEL;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 55 a 59 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;438228;4470593;S;NULL
2024S021528;06/07/2024;21:46:00;CALL. PELICANO / CALL. HERMANDAD;22;11;CARABANCHEL;Caída;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;438228;4470593;N;NULL
2024S021529;06/07/2024;22:50:00;CALL. SUECIA / CALL. MANCHESTER;68;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 60 a 64 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448679;4475606;N;NULL
2024S021529;06/07/2024;22:50:00;CALL. SUECIA / CALL. MANCHESTER;68;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;448679;4475606;N;NULL
2024S021530;05/07/2024;14:50:00;CALL. GOYA / CALL. CLAUDIO COELLO;19;4;SALAMANCA;Colisión fronto-lateral;Despejado;Autobús;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;441758;4475196;N;NULL
2024S021530;05/07/2024;14:50:00;CALL. GOYA / CALL. CLAUDIO COELLO;19;4;SALAMANCA;Colisión fronto-lateral;Despejado;Autobús;Pasajero;De 55 a 59 años;Mujer;2;Ingreso inferior o igual a 24 horas;441758;4475196;N;NULL
2024S021530;05/07/2024;14:50:00;CALL. GOYA / CALL. CLAUDIO COELLO;19;4;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;441758;4475196;N;NULL
2024S021531;07/07/2024;0:10:00;CALL. ARROYO FONTARRON, 357;357;14;MORATALAZ;Alcance;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;445775;4471792;N;NULL
2024S021531;07/07/2024;0:10:00;CALL. ARROYO FONTARRON, 357;357;14;MORATALAZ;Alcance;Despejado;Turismo;Conductor;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;445775;4471792;N;NULL
2024S021531;07/07/2024;0:10:00;CALL. ARROYO FONTARRON, 357;357;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 18 a 20 años;Mujer;14;Sin asistencia sanitaria;445775;4471792;N;NULL
2024S021531;07/07/2024;0:10:00;CALL. ARROYO FONTARRON, 357;357;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;5;Asistencia sanitaria ambulatoria con posterioridad;445775;4471792;N;NULL
2024S021533;06/07/2024;23:45:00;CALL. MAYOR, 47;47;1;CENTRO;Alcance;Despejado;Furgoneta;Conductor;De 35 a 39 años;Mujer;NULL;NULL;439819;4474151;N;NULL
2024S021533;06/07/2024;23:45:00;CALL. MAYOR, 47;47;1;CENTRO;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439819;4474151;N;NULL
2024S021534;06/07/2024;23:23:00;GTA. DE RUIZ GIMENEZ 4;24;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440168;4475676;N;NULL
