num_expediente,fecha,hora,timestamp,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,coordenadas,positiva_alcohol,positiva_droga
2024S020044,17/06/2024,23:00:00,2024-06-17T23:00:00Z,"AVDA. CIUDAD DE BARCELONA, 77",77,3,RETIRO,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,De 50 a 54 años,Hombre,1,Atención en urgencias sin posterior ingreso,442638.946,4472579.927,"442638.946, 4472579.927",0,0
2024S020044,17/06/2024,23:00:00,2024-06-17T23:00:00Z,"AVDA. CIUDAD DE BARCELONA, 77",77,3,RETIRO,Alcance,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,442638.946,4472579.927,"442638.946, 4472579.927",0,0
2024S020052,17/06/2024,14:10:00,2024-06-17T14:10:00Z,CALL. BELZUNEGUI / CALL. CARCASTILLO,1,11,CARABANCHEL,Alcance,Despejado,Turismo,Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,437246.922,4469857.482,"437246.922, 4469857.482",0,0
2024S020052,17/06/2024,14:10:00,2024-06-17T14:10:00Z,CALL. BELZUNEGUI / CALL. CARCASTILLO,1,11,CARABANCHEL,Alcance,Despejado,Turismo,Conductor,De 65 a 69 años,Hombre,14,Sin asistencia sanitaria,437246.922,4469857.482,"437246.922, 4469857.482",0,0
2024S020053,17/06/2024,9:10:00,2024-06-17T09:10:00Z,PLAZA DE TORCUATO FERNANDEZ MIRANDA/CALLE COSTA BRAVA,55,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 60 a 64 años,Mujer,77,Se desconoce,439491.386,4483163.439,"439491.386, 4483163.439",0,0
2024S020075,17/06/2024,16:10:00,2024-06-17T16:10:00Z,CALL. DIVINO PASTOR / CALL. MONTELEON,24,1,CENTRO,Caída,Despejado,Ciclomotor,Conductor,De 40 a 44 años,Mujer,2,Ingreso inferior o igual a 24 horas,440194.431,4475484.768,"440194.431, 4475484.768",0,0
2024S020075,17/06/2024,16:10:00,2024-06-17T16:10:00Z,CALL. DIVINO PASTOR / CALL. MONTELEON,24,1,CENTRO,Caída,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,440194.431,4475484.768,"440194.431, 4475484.768",0,0
2024S020133,17/06/2024,14:40:00,2024-06-17T14:40:00Z,"AVDA. RAMON Y CAJAL, 107",107,15,CIUDAD LINEAL,Colisión lateral,Se desconoce,Turismo,Conductor,De 30 a 34 años,Mujer,77,Se desconoce,443964.713,4478349.165,"443964.713, 4478349.165",0,0
2024S020133,17/06/2024,14:40:00,2024-06-17T14:40:00Z,"AVDA. RAMON Y CAJAL, 107",107,15,CIUDAD LINEAL,Colisión lateral,Se desconoce,Turismo,Conductor,De 35 a 39 años,Hombre,77,Se desconoce,443964.713,4478349.165,"443964.713, 4478349.165",0,0
2024S020133,17/06/2024,14:40:00,2024-06-17T14:40:00Z,"AVDA. RAMON Y CAJAL, 107",107,15,CIUDAD LINEAL,Colisión lateral,Se desconoce,Turismo,Pasajero,De 50 a 54 años,Mujer,77,Se desconoce,443964.713,4478349.165,"443964.713, 4478349.165",0,0
2024S020139,17/06/2024,13:47:00,2024-06-17T13:47:00Z,CALL. VELAZQUEZ / CALL. HERMOSILLA,44,4,SALAMANCA,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,De 35 a 39 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,441979.184,4475297.058,"441979.184, 4475297.058",0,0
2024S020139,17/06/2024,13:47:00,2024-06-17T13:47:00Z,CALL. VELAZQUEZ / CALL. HERMOSILLA,44,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,441979.184,4475297.058,"441979.184, 4475297.058",0,0
2024S020139,17/06/2024,13:47:00,2024-06-17T13:47:00Z,CALL. VELAZQUEZ / CALL. HERMOSILLA,44,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,441979.184,4475297.058,"441979.184, 4475297.058",0,0
2024S020139,17/06/2024,13:47:00,2024-06-17T13:47:00Z,CALL. VELAZQUEZ / CALL. HERMOSILLA,44,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 55 a 59 años,Mujer,14,Sin asistencia sanitaria,441979.184,4475297.058,"441979.184, 4475297.058",0,0
2024S020145,17/06/2024,12:00:00,2024-06-17T12:00:00Z,CALL. PORTICO DE LA GLORIA / PLAZA. OBRADOIRO,2,8,FUENCARRAL-EL PARDO,Alcance,Despejado,Todo terreno,Conductor,De 45 a 49 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,443705.927,4484970.486,"443705.927, 4484970.486",0,0
2024S020145,17/06/2024,12:00:00,2024-06-17T12:00:00Z,CALL. PORTICO DE LA GLORIA / PLAZA. OBRADOIRO,2,8,FUENCARRAL-EL PARDO,Alcance,Despejado,Turismo,Conductor,De 55 a 59 años,Mujer,14,Sin asistencia sanitaria,443705.927,4484970.486,"443705.927, 4484970.486",0,0
2024S000118,18/06/2024,11:20:00,2024-06-18T11:20:00Z,CALL. ALCALA / IDB. PUENTE DE VENTAS,235,4,SALAMANCA,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,443924.021,4475858.603,"443924.021, 4475858.603",0,0
